method,path,operation_id,msc1_capability,permission_category,agent_status,desktop_web_status,ios_status,cli_status,notes,tui_status
POST,/v1/worlds/{slotId}/profile,updateWorldSlotProfile,Save a world slot profile and apply its accepted runtime projection,worlds,Implemented,Implemented,Implemented,Implemented,P12.27: shared world-settings form writes the slot profile; P12.29: per-field capability and lifecycle evidence closes the native profile scope,Planned
POST,/v1/worlds/update,updateActiveWorldSlot,Save the current live world into the active slot,worlds,Implemented,Implemented,Planned,Planned,P12.4: Worlds tab owns Save Current World; P13.8: TUI save-current action,Implemented
GET,/v1/worlds/{slotId}/thumbnail,getWorldSlotThumbnail,"A world slot's thumbnail image, if one was generated",none,Implemented,Implemented,Planned,Planned,P12.4: Worlds and Home render a thumbnail only when the slot reports one,Planned
POST,/v1/servers/directory,,Update a server's configured directory,fleet,Implemented,Implemented,Planned,Planned,P12.12: General editor saves the server directory,Planned
GET,/v1/config/host-setup,,Get whether one-time setup is complete for this agent host,none,Implemented,Implemented,Planned,Planned,P11.29i: first-launch gate and Handbook read host setup state,Planned
POST,/v1/config/host-setup/complete,,Mark one-time setup complete for this agent host,settings,Implemented,Implemented,Planned,Planned,P11.29i: first-launch setup records completion on the agent host,Planned
POST,/v1/playit/setup,setupPlayit,Start native Playit account and tunnel setup,networking,Implemented,Implemented,Planned,Planned,P12.12: Server Editor runs the agent-owned Playit setup operation,Planned
POST,/v1/playit/reset,resetPlayit,Clear host-local Playit credentials and derived state,networking,Implemented,Implemented,Planned,Planned,P12.12: Server Editor exposes the explicit Playit reset action,Planned
POST,/v1/players/identify,,Assign a gamertag to an unresolved Bedrock profile,players,Implemented,Implemented,Planned,Planned,P12.3: Desktop/Web Player Data resolves an unresolved Bedrock profile; P13.7: TUI sends the existing text-based identify action,Implemented
POST,/v1/players/delete,,Delete a player's data,players,Implemented,Implemented,Planned,Planned,P12.3: Desktop/Web Player Data exposes deletion with confirmation; P13.7: TUI requires shared confirmation,Implemented
POST,/v1/players/migrate-offline,,Migrate player data to its offline UUID,players,Implemented,Implemented,Planned,Planned,P12.3: Desktop/Web Player Data exposes offline UUID migration; P13.7: TUI requires shared confirmation,Implemented
POST,/v1/players/migrate,,Migrate player data to a custom UUID,players,Implemented,Implemented,Planned,Planned,P12.3: Desktop/Web Player Data exposes custom UUID migration; P13.7: TUI requires shared confirmation,Implemented
POST,/v1/players/duplicate,,Duplicate a player's data,players,Implemented,Implemented,Planned,Planned,P12.3: Desktop/Web Player Data exposes profile duplication; P13.7: TUI requires shared confirmation,Implemented
GET,/v1/servers/size,,Measure a registered server's directory,none,Implemented,Implemented,Planned,Planned,P12.12: General editor reads the agent-backed directory size; P13.10: TUI General editor,Implemented
POST,/v1/session-log/clear,,Clear join/leave event history for the active server,players,Implemented,Implemented,Planned,Planned,P12.3: Java Players screen clears the agent-backed session log; P13.7: TUI requires shared confirmation,Implemented
GET,/v1/catalog/projects/{projectId},,Fetch full Modrinth project detail for the catalog browser,none,Implemented,Implemented,Planned,Planned,P12.7: Components catalog opens the agent-backed project detail,Planned
GET,/v1/catalog/projects/{projectId}/versions,,Fetch every Modrinth version for a catalog project,none,Implemented,Implemented,Planned,Planned,P12.7: Components catalog opens the agent-backed project versions,Planned
POST,/v1/host/reset,resetHost,Reset this host's MSC state,admin,Implemented,Implemented,Planned,Planned,P12.19: Settings exposes host reset through an explicit confirmation,Planned
POST,/v1/auth/pairings,createPairing,Create a one-use pairing code for a browser or desktop client,admin,Implemented,Implemented,Planned,Planned,P11.29: browser and desktop setup create a one-use pairing code,Planned
POST,/v1/auth/browser-sessions,exchangeBrowserSession,Exchange a browser pairing code for the current browser session,none,Implemented,Implemented,Planned,Planned,P11.29: browser auth exchanges the pairing code for an HttpOnly session,Planned
GET,/v1/auth/csrf,getCsrfToken,Get the current browser session's CSRF token,none,Implemented,Implemented,Planned,Planned,P11.29: browser mutations obtain the CSRF token,Planned
DELETE,/v1/auth/browser-sessions/current,logoutBrowserSession,Revoke the current browser session,none,Implemented,Implemented,Planned,Planned,P11.29: browser auth revokes its current session,Planned
POST,/v1/auth/desktop-pairings,exchangeDesktopPairing,Exchange a desktop pairing code for a host-scoped bearer credential,none,Implemented,Implemented,Planned,Planned,P11.29: Tauri auth exchanges pairing for a host-scoped bearer,Planned
GET,/v1/guides/router/search,,Search and match router guides,none,Implemented,Implemented,Planned,Planned,P12.16: Handbook router panel uses the agent-served search route,Planned
GET,/v1/guides/router/{guideId},,Compose and resolve one router guide,none,Implemented,Implemented,Planned,Planned,P12.16: Handbook router reader uses the agent-served guide route,Planned
POST,/v1/guides/router/troubleshooting/analyze,,Analyze router troubleshooting symptoms,none,Implemented,Implemented,Planned,Planned,P12.16: Handbook troubleshooting uses the agent-served analysis route,Planned
GET,/v1/worlds/convert/formats,getWorldConvertFormats,List the installed Chunker world-conversion formats,worlds,Implemented,Implemented,Planned,Planned,P12.4: Worlds conversion wizard reads the agent-backed format list,Planned
POST,/v1/worlds/{slotId}/thumbnail,setWorldSlotThumbnail,Set a world slot's thumbnail from a staged image upload,worlds,Implemented,Implemented,Planned,Planned,P12.4: Worlds slot card stages and saves a thumbnail,Planned
